,loss,custom_mean_iou,f1-score,val_loss,val_custom_mean_iou,val_f1-score
0,0.8182894179475642,0.2618717551231384,0.2494237869977951,0.9933206609317234,0.006678145378828049,0.013219130225479603
1,0.6863867997009063,0.4620812237262726,0.37821200489997864,0.9882592729159764,0.011048998683691025,0.023048747330904007
2,0.5274438384537384,0.6030247211456299,0.5709899663925171,0.9255926864487785,0.08641046285629272,0.12507997453212738
3,0.3693308019749472,0.6890265345573425,0.7414685487747192,0.7922763398715428,0.2101418823003769,0.2745891809463501
4,0.2928560694615789,0.7308651804924011,0.8079360723495483,0.7956742559160505,0.20763112604618073,0.26513391733169556
5,0.2454090704242017,0.7697033882141113,0.8458320498466492,0.6695468766348702,0.33428168296813965,0.37549319863319397
6,0.22291091274806643,0.7873312830924988,0.8628162741661072,0.6507984229496547,0.35236772894859314,0.4076445400714874
7,0.19815961575582391,0.8115097880363464,0.8807163238525391,0.5638734442847115,0.4459346830844879,0.5187810063362122
8,0.1863368137788921,0.8218567967414856,0.8892658352851868,0.6088752576283046,0.3916133642196655,0.44758763909339905
9,0.1949939950604305,0.8128271102905273,0.8829764723777771,0.5160524419375828,0.49050167202949524,0.5795189142227173
10,0.1879435890003157,0.8194961547851562,0.8877162933349609,0.4492455210004534,0.5568079352378845,0.6545925140380859
11,0.1688010672171168,0.8385534882545471,0.9010044932365417,0.40258991718292236,0.6040288805961609,0.705565333366394
12,0.1584957988926926,0.8473782539367676,0.908271849155426,0.3157439146723066,0.6958535313606262,0.7887007594108582
13,0.15335606530633672,0.852281391620636,0.9114251732826233,0.31724620716912405,0.6899111866950989,0.7858800292015076
14,0.14658968071699885,0.8587908148765564,0.9157411456108093,0.285852244922093,0.7223076224327087,0.8142117261886597
15,0.14018679101519124,0.8645520806312561,0.9200757145881653,0.33380632741110666,0.6716787815093994,0.7725333571434021
16,0.13614024272960296,0.8687170147895813,0.9226605892181396,0.24305144378117152,0.7646539807319641,0.8466521501541138
17,0.13574748873896317,0.8690758347511292,0.9228863716125488,0.2257709332874843,0.7810733318328857,0.8597790002822876
18,0.12915926428970148,0.8755763173103333,0.9271513819694519,0.22798178877149308,0.7789692878723145,0.8568772673606873
19,0.12146090996971011,0.8827882409095764,0.9319372773170471,0.1946205837385995,0.8119988441467285,0.8833726048469543
20,0.12511813645236589,0.8795270919799805,0.9295772910118103,0.19980595793042863,0.8060531616210938,0.8792738318443298
21,0.1212054097856688,0.8828988671302795,0.9321756958961487,0.19534475462777273,0.8098916411399841,0.8833895921707153
22,0.11679677925191564,0.8875110149383545,0.9347934126853943,0.18622363465172903,0.8181285858154297,0.8899625539779663
23,0.1172900826574486,0.8863435387611389,0.9345977306365967,0.21060921464647567,0.7947637438774109,0.8689298629760742
24,0.11223706770166059,0.8921834826469421,0.937714695930481,0.18182446275438582,0.8228103518486023,0.8930116891860962
25,0.1087447679209932,0.8952164649963379,0.9397948384284973,0.17282732895442418,0.8308610916137695,0.8984188437461853
26,0.10914733332822628,0.8945760130882263,0.9395712018013,0.19135660784585135,0.812016487121582,0.8856590390205383
27,0.10649074228753182,0.8967647552490234,0.9411889314651489,0.1713337472506932,0.8316695690155029,0.8994477391242981
28,0.10162212270256886,0.9019491076469421,0.9442011713981628,0.1674860715866089,0.8354172706604004,0.9022181630134583
29,0.10599787022651541,0.8974089026451111,0.9415350556373596,0.17305961677006312,0.8300731778144836,0.8985282182693481
30,0.10442276865336754,0.898643970489502,0.9423547387123108,0.17336373669760569,0.8299031853675842,0.8985617756843567
31,0.10081413880315525,0.902472734451294,0.9445306062698364,0.16787512813295638,0.8350117206573486,0.9021005034446716
