,loss,custom_mean_iou,f1-score,val_loss,val_custom_mean_iou,val_f1-score
0,0.6948414726415291,0.31776174902915955,0.30378514528274536,0.7413913522447858,0.26081958413124084,0.2586086392402649
1,0.5675054042842612,0.4458496570587158,0.43376627564430237,0.817250166620527,0.12392351776361465,0.18274983763694763
2,0.4869387350942027,0.4557349681854248,0.5124019980430603,0.853795553956713,0.08892907947301865,0.14620444178581238
3,0.4438317338197,0.47509732842445374,0.5549532771110535,0.8734063250677926,0.07707636058330536,0.1265936940908432
4,0.4326850798078605,0.47861161828041077,0.5659082531929016,0.9600001488413129,0.012048828415572643,0.039999861270189285
5,0.424422358144046,0.48469629883766174,0.5738008618354797,0.913574184690203,0.04227608069777489,0.08642581850290298
6,0.4004186381727962,0.503975510597229,0.598381519317627,0.7010867765971592,0.25993189215660095,0.29891321063041687
7,0.3814354283600265,0.5208466649055481,0.6176292300224304,0.5918885810034615,0.3820415437221527,0.40811142325401306
8,0.3678588938364079,0.5312614440917969,0.6317833065986633,0.6701094848769051,0.3252336084842682,0.32989051938056946
9,0.3591368770103425,0.5400685667991638,0.6398376226425171,0.47993697438921246,0.43590912222862244,0.520063042640686
10,0.3556331032413547,0.5417889952659607,0.6438751816749573,0.6697476250784737,0.32524552941322327,0.33025237917900085
11,0.3392146451539361,0.5571925044059753,0.6604790091514587,0.6691550186702183,0.3249518573284149,0.3308449685573578
12,0.3382812329727255,0.5577055811882019,0.6605939865112305,0.6574753778321403,0.33070841431617737,0.34252461791038513
13,0.32714502318247074,0.568949282169342,0.6719503998756409,0.4019390855516706,0.504486620426178,0.5980609655380249
14,0.32321795251777247,0.5722278356552124,0.6765848994255066,0.4489864536694118,0.4728759229183197,0.5510135293006897
15,0.3191214575330355,0.5769184231758118,0.6803823709487915,0.5861765146255493,0.3721778094768524,0.4138234555721283
16,0.3087157388956778,0.5851719379425049,0.6911482214927673,0.44669382912772043,0.47261980175971985,0.5533061623573303
17,0.2997927873270537,0.5953258872032166,0.700214147567749,0.5440712996891567,0.40349140763282776,0.4559287130832672
18,0.293852899585189,0.6013534665107727,0.7061015963554382,0.37274869850703646,0.5341786742210388,0.6272512674331665
19,0.2764144268443662,0.6186028122901917,0.7235836982727051,0.40331163576671053,0.5126472115516663,0.5966883897781372
20,0.2720368089863258,0.6241001486778259,0.7281844615936279,0.3858586975506374,0.5275309085845947,0.6141412854194641
21,0.25717586003393167,0.6399426460266113,0.7425179481506348,0.381635776587895,0.5311582684516907,0.6183642148971558
22,0.24178803518116015,0.6554825901985168,0.7582951784133911,0.384153996195112,0.5302165150642395,0.6158460378646851
23,0.22978355626479502,0.6691739559173584,0.7703557014465332,0.43413152013506207,0.4864248037338257,0.5658684372901917
24,0.21942163280603147,0.681495189666748,0.780544102191925,0.3848396795136588,0.5352027416229248,0.615160346031189
25,0.21161046054771024,0.6896071434020996,0.7884323000907898,0.5770017334393093,0.3798438608646393,0.4229982793331146
26,0.20956577886418312,0.6926958560943604,0.7901625633239746,0.3794186796460833,0.5324228405952454,0.620581328868866
27,0.21630324108758583,0.6834033131599426,0.7837600708007812,0.36383630548204693,0.5514304637908936,0.6361636519432068
28,0.19874076988370099,0.7043635249137878,0.801588237285614,0.32159657989229473,0.5799336433410645,0.6784034371376038
29,0.1915001391629776,0.7130508422851562,0.8087998628616333,0.30166373934064594,0.6017531752586365,0.6983363032341003
30,0.18194669935111824,0.7240908741950989,0.8183436393737793,0.32515404905591694,0.5743212699890137,0.6748459935188293
31,0.17156454548813713,0.7368121147155762,0.828244149684906,0.24225568771362305,0.6622125506401062,0.7577442526817322
32,0.16908864316477432,0.740715503692627,0.8312491178512573,0.23498494284493582,0.6671979427337646,0.7650150656700134
33,0.15738334664027387,0.7546059489250183,0.8430132269859314,0.4148968373026167,0.5059275031089783,0.5851031541824341
34,0.14861301551981956,0.7658214569091797,0.851500391960144,0.22386606250490462,0.6794942021369934,0.7761339545249939
35,0.1470942100960595,0.7686193585395813,0.8534455299377441,0.2548020737511771,0.6450805068016052,0.7451978921890259
36,0.13932155598477333,0.7789936065673828,0.861012876033783,0.2555867774145944,0.6500651240348816,0.7444132566452026
37,0.1302789486887275,0.7907894253730774,0.8699392676353455,0.202126715864454,0.7052526473999023,0.7978731989860535
38,0.12609199929310838,0.7965295910835266,0.8740503191947937,0.2139682854924883,0.6906013488769531,0.7860317230224609
39,0.12245310629461138,0.8013959527015686,0.8780460953712463,0.17451984541756765,0.7359261512756348,0.825480043888092
40,0.12779596829083742,0.7946653962135315,0.8722425699234009,0.20074541228158133,0.7037765383720398,0.7992545366287231
41,0.12005413152587432,0.8054640889167786,0.8800222277641296,0.21225692544664657,0.6899826526641846,0.787743091583252
42,0.12481675823958152,0.7985870838165283,0.8754924535751343,0.19025586332593644,0.7145406603813171,0.8097441792488098
43,0.11547550967735208,0.8111440539360046,0.8848170042037964,0.21039502109800065,0.6954600214958191,0.7896050214767456
44,0.1074360322511435,0.8223933577537537,0.8929217457771301,0.1714566605431693,0.7382492423057556,0.8285433053970337
45,0.11141588889027965,0.8175765872001648,0.8886961340904236,0.19199985265731812,0.713477611541748,0.8080001473426819
46,0.1036246572786193,0.828292191028595,0.8967041373252869,0.1808679018701826,0.728759765625,0.8191321492195129
47,0.1004202454501565,0.8326335549354553,0.8997067809104919,0.15553842272077287,0.7562799453735352,0.8444615602493286
48,0.10138405021423551,0.830991804599762,0.8985549807548523,0.16349942343575613,0.7476420402526855,0.8365005850791931
49,0.09697316065775044,0.8382144570350647,0.9034258723258972,0.1530927334512983,0.7601504921913147,0.8469071984291077
